"","year","species_id","genus","weight"
"1",1977,"DS","Dipodomys",149
"2",1978,"NL","Neotoma",232
"3",1979,"NL","Neotoma",274
"4",1980,"NL","Neotoma",243
"5",1981,"NL","Neotoma",264
"6",1982,"NL","Neotoma",252
"7",1983,"NL","Neotoma",256
"8",1984,"NL","Neotoma",259
"9",1985,"NL","Neotoma",225
"10",1986,"NL","Neotoma",240
"11",1987,"NL","Neotoma",278
"12",1988,"NL","Neotoma",248
"13",1989,"NL","Neotoma",275
"14",1990,"NL","Neotoma",243
"15",1991,"SF","Sigmodon",199
"16",1992,"NL","Neotoma",220
"17",1993,"NL","Neotoma",233
"18",1994,"NL","Neotoma",226
"19",1995,"NL","Neotoma",171
"20",1996,"NL","Neotoma",185
"21",1997,"NL","Neotoma",231
"22",1998,"NL","Neotoma",238
"23",1999,"NL","Neotoma",227
"24",2000,"NL","Neotoma",265
"25",2001,"NL","Neotoma",280
"26",2002,"NL","Neotoma",248
